cum_emissions_hat2,ann,year
131670.42,0,1880
131670.42,1.14E-05,1881
131670.4201,5.74E-05,1882
131670.4203,0.000198546,1883
131670.4208,0.000570491,1884
131670.4223,0.001439793,1885
131670.4255,0.003258139,1886
131670.4322,0.006639462,1887
131670.4442,0.01206523,1888
131670.4631,0.018903343,1889
131670.4861,0.022972774,1890
131670.4975,0.01139551,1891
131670.4504,-0.047084624,1892
131670.2318,-0.218583319,1893
131669.6022,-0.629602724,1894
131668.0994,-1.502828141,1895
131664.8977,-3.201745682,1896
131658.62,-6.277691727,1897
131647.1145,-11.5054218,1898
131627.231,-19.88349652,1899
131594.6661,-32.56497884,1900
131543.9916,-50.67445022,1901
131469.0292,-74.96242551,1902
131363.7777,-105.2514886,1903
131224.1347,-139.6430266,1904
131050.6536,-173.4810928,1905
130852.543,-198.1105746,1906
130653.0245,-199.5185406,1907
130496.0171,-157.0074071,1908
130453.904,-42.11307745,1909
130635.8572,181.9532332,1910
131195.8578,560.0005918,1911
132339.1694,1143.311543,1912
134325.6484,1986.479021,1913
137467.9991,3142.350765,1914
142123.0498,4655.050672,1915
148674.5341,6551.484255,1916
157506.8865,8832.352417,1917
168971.2572,11464.37077,1918
183347.118,14375.86074,1919
200804.9196,17457.80162,1920
221376.4703,20571.55065,1921
244939.2723,23562.80202,1922
271218.7213,26279.449,1923
299808.3433,28589.62205,1924
330204.3229,30395.97953,1925
361847.7977,31643.47479,1926
394167.6067,32319.80905,1927
426617.3494,32449.74267,1928
458703.005,32085.65564,1929
489999.9778,31296.9728,1930
520160.4963,30160.51845,1931
548913.472,28752.97578,1932
576059.2643,27145.79228,1933
601461.5662,25402.30187,1934
625038.127,23576.56085,1935
646751.4733,21713.34629,1936
666600.3168,19848.84341,1937
684611.9885,18011.67171,1938
700836.0075,16224.01901,1939
715338.7548,14502.74732,1940
728199.1543,12860.39954,1941
739505.2319,11306.07752,1942
749351.4173,9846.185491,1943
757836.4627,8485.045322,1944
765061.8581,7225.395422,1945
771130.6456,6068.787467,1946
776146.5404,5015.89481,1947
780213.2861,4066.745697,1948
783434.179,3220.892961,1949
785911.7091,2477.530097,1950
787747.2706,1835.561522,1951
789040.9025,1293.631908,1952
789891.0176,850.1150286,1953
790394.0716,503.0540326,1954
790644.0965,250.0249125,1955
790731.9275,87.83097494,1956
790743.5236,11.59609174,1957
790755.7164,12.19285241,1958
790848.0674,92.35095193,1959
791110.9591,262.8917364,1960
791639.9012,528.9421155,1961
792533.7636,893.8623682,1962
793893.9612,1360.1976,1963
795823.9555,1929.99433,1964
798428.8902,2604.934689,1965
801815.2727,3386.382518,1966
806090.6405,4275.367778,1967
811363.1544,5272.513864,1968
817741.0574,6377.90301,1969
825331.9276,7590.87017,1970
834241.6408,8909.713229,1971
844572.9476,10331.30677,1972
856423.5558,11850.60823,1973
869883.6056,13460.04978,1974
885032.4238,15148.81822,1975
901934.4633,16902.03947,1976
920634.3693,18699.90606,1977
941151.1849,20516.81557,1978
963471.8106,22320.62565,1979
987543.9848,24072.1742,1980
1013269.24,25725.25475,1981
1040496.506,27227.2669,1982
1069017.268,28520.76174,1983
1098563.323,29546.05522,1984
1128808.291,30244.96805,1985
1159373.856,30565.56416,1986
1189841.369,30467.51329,1987
1219768.811,29927.44199,1988
1248712.244,28943.43339,1989
1286269.039,37556.79509,1990
1327693.015,41423.97553,1991
1373109.379,45416.36452,1992
1422697.154,49587.77434,1993
1476595.287,53898.13309,1994
1534891.381,58296.0945,1995
1597610.25,62718.86841,1996
1664702.979,67092.72901,1997
1736037.321,71334.34261,1998
1811390.328,75353.00695,1999
1890444.144,79053.81536,2000
1972785.798,82341.65482,2001
2057911.627,85125.82847,2002
2145236.605,87324.97773,2003
2234108.493,88871.88848,2004
2323826.215,89717.72198,2005
2413661.444,89835.22929,2006
2502882.039,89220.59444,2007
2590775.734,87893.69522,2008
2676672.486,85896.75174,2009
2759964.004,83291.518,2010
2840119.335,80155.33107,2011
2916695.773,76576.43854,2012
2989344.838,72649.06505,2013
3057813.492,68468.65352,2014
3121941.131,64127.63872,2015
3181653.132,59712.00081,2016
3236951.859,55298.72698,2017
3287906.057,50954.1988,2018
3334639.493,46733.43542,2019
3377319.556,42680.06341,2020
3416146.41,38826.85387,2021
3451343.071,35196.66115,2022
3483146.681,31803.60934,2023
3511801.076,28654.39557,2024
3537550.683,25749.60703,2025
3560635.66,23084.97689,2026
3581288.19,20652.52999,2027
3599729.781,18441.59084,2028
3616169.424,16439.64281,2029
3630802.464,14633.03985,2030
3643810.043,13007.5798,2031
3655358.997,11548.95323,2032
3665602.081,10243.08411,2033
3674678.459,9076.378768,2034
3682714.359,8035.899421,2035
3689823.836,7109.476699,2036
3696109.61,6285.774164,2037
3701663.926,5554.315833,2038
3706569.411,4905.485946,2039
3710899.92,4330.508545,2040
3714721.333,3821.412926,2041
3718092.323,3370.989765,2042
3721065.064,2972.741616,2043
3723685.895,2620.830614,2044
3725995.92,2310.025447,2045
3728031.57,2035.649138,2046
3729825.098,1793.528666,2047
3731405.045,1579.947149,2048
3732796.644,1391.59901,2049
3734022.193,1225.548348,2050
